slug,file_title,author_or_source,license,commons_page_url
llica-d-amunt,File:Vista Montserrat des de Lliçà d'Amunt - panoramio.jpg,xmondejar,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Vista_Montserrat_des_de_Lliçà_d'Amunt_-_panoramio.jpg
pinto,File:Pinto (1).jpg,Vanbasten 23,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Pinto_(1).jpg
teo,"File:Igrexa de Santa María de Lampai, Teo.jpg",amaianos from Galicia,CC BY 2.0,"https://commons.wikimedia.org/wiki/File:Igrexa_de_Santa_María_de_Lampai,_Teo.jpg"
almassora,"File:Playa de Ben Afeli, Almassora (Castellón, España).jpg",Juan Emilio Prades Bel,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Playa_de_Ben_Afeli,_Almassora_(Castellón,_España).jpg"
la-rapita,"File:Cultura marinera, puerto pesquero de La Rápita (Tarragona, España).jpg",Juan Emilio Prades Bel,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Cultura_marinera,_puerto_pesquero_de_La_Rápita_(Tarragona,_España).jpg"
la-pobla-de-vallbona,File:Ajuntament de la Pobla de Vallbona 01.jpg,19Tarrestnom65,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Ajuntament_de_la_Pobla_de_Vallbona_01.jpg
benicassim,File:Benicasim playa inundado (30468802105).jpg,"Martin Cox from Benicasim, España",CC BY 2.0,https://commons.wikimedia.org/wiki/File:Benicasim_playa_inundado_(30468802105).jpg
sant-vicenc-dels-horts,File:2022 Moli dels Frares-01.jpg,CésarOP,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:2022_Moli_dels_Frares-01.jpg
sant-vicent-del-raspeig,File:Aula CFPA Sant Vicent Ferrer de San Vicente del Raspeig.jpg,Laborinquen,CC0,https://commons.wikimedia.org/wiki/File:Aula_CFPA_Sant_Vicent_Ferrer_de_San_Vicente_del_Raspeig.jpg
utebo,File:Utebo Jun 2020 22 05 55 650000.jpeg,Robot8A,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Utebo_Jun_2020_22_05_55_650000.jpeg
